"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;Url
947995799482;;;;;"Profil CURTINA X403 - biały mat - 2,0 m.b.";;;https://static.tildacdn.com/stor6262-3964-4433-a330-363230316365/42449150.png;112.00;99;;"Kolor:biały mat;Długość:2,0 m.b.";;yUubMVw1hqQAZdBztKRgZ2;217015100692;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x403?editionuid=947995799482
172085818052;;;;;"Profil CURTINA X403 - czarny mat - 2,0 m.b.";;;https://static.tildacdn.com/stor6262-3964-4433-a330-363230316365/42449150.png;112.00;0;;"Kolor:czarny mat;Długość:2,0 m.b.";;hSqFGvnTjaggVAymnovmh0;217015100692;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x403?editionuid=172085818052
280441303392;;;;;"Profil CURTINA X403 - biały połysk - 2,2 m.b.";;;https://static.tildacdn.com/stor6262-3964-4433-a330-363230316365/42449150.png;123.20;99;;"Kolor:biały połysk;Długość:2,2 m.b.";;smfA9ADrg9P4AffHsiprN2;217015100692;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x403?editionuid=280441303392
706721254362;;;;;"Profil CURTINA X403 - czarny mat - 2,2 m.b.";;;https://static.tildacdn.com/stor6262-3964-4433-a330-363230316365/42449150.png;123.20;99;;"Kolor:czarny mat;Długość:2,2 m.b.";;Hxf-n56DhLa95Jq8oTmSb3;217015100692;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x403?editionuid=706721254362
790798238972;;;;;"Profil CURTINA X403 - biały mat - 3,2 m.b.";;;https://static.tildacdn.com/stor6262-3964-4433-a330-363230316365/42449150.png;179.20;99;;"Kolor:biały mat;Długość:3,2 m.b.";;i3hGepcZiU3L8JqEJ2rtV0;217015100692;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x403?editionuid=790798238972
683960763922;;;;;"Profil CURTINA X403 - biały połysk - 3,2 m.b.";;;https://static.tildacdn.com/stor6262-3964-4433-a330-363230316365/42449150.png;179.20;99;;"Kolor:biały połysk;Długość:3,2 m.b.";;34WwfpBUjupvpuPa3EpLr3;217015100692;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x403?editionuid=683960763922
656602599672;;;;;"Profil CURTINA X403 - czarny mat - 3,2 m.b.";;;https://static.tildacdn.com/stor6262-3964-4433-a330-363230316365/42449150.png;179.20;99;;"Kolor:czarny mat;Długość:3,2 m.b.";;jx2sQ0lhiTZsQVWNF9X2z0;217015100692;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x403?editionuid=656602599672
286691236472;Alumineu;;;"profile harpunowe>>>karniszowe";"Profil CURTINA X405";"Profil alumineu CURTINA X405 do wykonania ukrytych wnęk karniszowych z dwoma rowkami do wieszania zasłon i firan w sufitach napinanych z systemem harpunowym. Podświetlany.";;https://static.tildacdn.com/stor6336-6539-4630-b237-383862633235/82833499.png;;;;;;curtina_x405;;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x405
578757699002;;;;;"Profil CURTINA X405 - biały mat - 2,0 m.b.";;;https://static.tildacdn.com/stor6336-6539-4630-b237-383862633235/82833499.png;120.00;0;;"Kolor:biały mat;Długość:2,0 m.b.";;zRy2mTY3io-ReCRagT1MI2;286691236472;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x405?editionuid=578757699002
400677780532;;;;;"Profil CURTINA X405 - czarny mat - 2,0 m.b.";;;https://static.tildacdn.com/stor6336-6539-4630-b237-383862633235/82833499.png;120.00;100;;"Kolor:czarny mat;Długość:2,0 m.b.";;9YYv8DXkjKpGTTDe3j99Y3;286691236472;0;0;0;0;https://alumineu.pl/produkty/profile-harpunowe/karniszowe/curtina-x405?editionuid=400677780532
