"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;Url;Tabs:1
437903368922;;;;"profile cu harpon>>>cornișe";"Profil CURTINA X407";"cornis patentat CURTINA X407® cu un șanț pentru agățarea draperiilor și perdelelor. Pentru sistem de prindere a pânzei cu harpon.";;https://static.tildacdn.com/stor3332-3965-4231-a461-643535363133/41215857.png;;;;;;curtina_x407;;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/cornise/curtina-x407;
384805841032;;;;;"Profil CURTINA X407 - alb mat - 2,0 m.l.";;;https://static.tildacdn.com/stor3332-3965-4231-a461-643535363133/41215857.png;29.69;;;"culoare:alb mat;lungime:2,0 m.l.";;cJyPtbDhhRAmihZrojWDn0;437903368922;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/cornise/curtina-x407?editionuid=384805841032;
255274699252;;;;;"Profil CURTINA X407 - negru mat - 2,0 m.l.";;;https://static.tildacdn.com/stor3332-3965-4231-a461-643535363133/41215857.png;29.69;;;"culoare:negru mat;lungime:2,0 m.l.";;gtIKBLtJghv4WzA42yxPP1;437903368922;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/cornise/curtina-x407?editionuid=255274699252;
860229210372;;;;"profile cu harpon>>>umbră";"Profil INVISIA X206";"profil patentat INVISIA X206® de tavan, distanțier, pentru tavane napinane cu sistem de prindere a pânzei cu harpon.";;https://static.tildacdn.com/stor3835-3266-4466-b235-353134356539/77956926.png;;;;;;invisia_x206;;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/umbra/invisia-x206;
336484823622;;;;;"Profil INVISIA X206 - negru mat";;;https://static.tildacdn.com/stor3835-3266-4466-b235-353134356539/77956926.png;21.20;;;"culoare:negru mat";;EGXmtijjgeQdvXQSqdLGi3;860229210372;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/umbra/invisia-x206?editionuid=336484823622;
578289099072;;;;"profile cu harpon>>>umbră";"Profil INVISIA X207";"profil patentat INVISIA X207® de tavan, distanțier, pentru ventilație în tavane napinane cu sistem de prindere a pânzei cu harpon.";;https://static.tildacdn.com/stor3339-6237-4235-b131-346431643731/31474637.png;;;;;;invisia_x207;;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/umbra/invisia-x207;
479831501182;;;;;"Profil INVISIA X207 - negru mat";;;https://static.tildacdn.com/stor3339-6237-4235-b131-346431643731/31474637.png;31.81;;;"culoare:negru mat";;YZTju3ikgOF1-Sj6ktK6e2;578289099072;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/umbra/invisia-x207?editionuid=479831501182;
150169575472;;;;"profile cu harpon>>>umbră";"Profil INVISIA X208";"profil patentat INVISIA X208® de tavan, distanțier, pentru tavane napinane cu sistem de prindere a pânzei cu harpon. Pentru ocolirea pereților complicați.";;https://static.tildacdn.com/stor3139-3639-4039-b463-346665613532/78688767.png;;;;;;invisia_x208;;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/umbra/invisia-x208;
994668282432;;;;;"Profil INVISIA X208 - negru mat";;;;15.90;;;"culoare:negru mat";;eyVbkQihgGQtYR5EF0P4w0;150169575472;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/umbra/invisia-x208?editionuid=994668282432;
288954167352;;;;"profile cu harpon>>>umbră";"Profil INVISIA X209";"profil patentat INVISIA X209® distanțier pentru tavane napinane cu sistem de prindere a pânzei cu harpon. Pentru ocolirea scărilor și luminatoarelor.";;https://static.tildacdn.com/stor3566-6236-4637-b937-393866626230/56260877.png;;;;;;invisia_x209;;0;0;0;0;https://alumineu.ro/produse/profile-cu-harpon/umbra/invisia-x209;
