"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;Url
592136186094;;;;accessories>>>hooks;"Hooks HOOKARA Y701";;;https://static.tildacdn.com/stor6462-3137-4365-b562-656138386661/f54bd0ffbcd30eafc3cc4bf99defc351.png;;;;;;hookara_y701;;0;0;0;0;https://alumineu.com/products/accessories/hooks/hookara-y701
252163632314;;;;;"Hooks HOOKARA Y701 - white";;;https://static.tildacdn.com/stor6462-3137-4365-b562-656138386661/f54bd0ffbcd30eafc3cc4bf99defc351.png;4.15;53;;Color:white;;46uEut1Sg0K3ORag6S9WZ0;592136186094;0;0;0;0;https://alumineu.com/products/accessories/hooks/hookara-y701?editionuid=252163632314
266558187974;;;;;"Hooks HOOKARA Y701 - black";;;https://static.tildacdn.com/stor6462-3137-4365-b562-656138386661/f54bd0ffbcd30eafc3cc4bf99defc351.png;4.15;55;;Color:black;;mCFJaYpDhGQpcRyrmU8W81;592136186094;0;0;0;0;https://alumineu.com/products/accessories/hooks/hookara-y701?editionuid=266558187974
311828153634;;;;accessories>>>hooks;"Stopper HOOKEND Y704";;;https://static.tildacdn.com/stor6230-3665-4663-b666-353437623562/cb6b1d43c7ff19804a628594427e20c7.png;;;;;;hookend_y704;;0;0;0;0;https://alumineu.com/products/accessories/hooks/hookend-y704
233606898194;;;;;"Stopper HOOKEND Y704 - white";;;https://static.tildacdn.com/stor6230-3665-4663-b666-353437623562/cb6b1d43c7ff19804a628594427e20c7.png;0.52;20;;Color:white;;ysB7srkLhvaXhUm2B-WED1;311828153634;0;0;0;0;https://alumineu.com/products/accessories/hooks/hookend-y704?editionuid=233606898194
726059097434;;;;;"Stopper HOOKEND Y704 - black";;;https://static.tildacdn.com/stor6230-3665-4663-b666-353437623562/cb6b1d43c7ff19804a628594427e20c7.png;0.52;23;;Color:black;;rTvzIoD8go7VbGrUSWHeb2;311828153634;0;0;0;0;https://alumineu.com/products/accessories/hooks/hookend-y704?editionuid=726059097434
517271818064;;;;"architectural solutions>>>room dividers";"Room divider DECORRA";;;https://static.tildacdn.com/stor6139-3730-4664-b233-383833336266/f6947e3953010fb76f3d62f3a44fef0a.webp;;;;;;decorra;;0;0;0;0;https://alumineu.com/products/architectural-solutions/room-dividers/decorra
830946647674;;;;;"Room divider DECORRA - 500 mm - white matte";;;https://static.tildacdn.com/stor6139-3730-4664-b233-383833336266/f6947e3953010fb76f3d62f3a44fef0a.webp;186.79;22;;"Length:500 mm;Color:white matte";;ergHrlZUg2QIND1V8IhSJ2;517271818064;0;0;0;0;https://alumineu.com/products/architectural-solutions/room-dividers/decorra?editionuid=830946647674
404845127174;;;;;"Room divider DECORRA - 500 mm - black matte";;;https://static.tildacdn.com/stor6139-3730-4664-b233-383833336266/f6947e3953010fb76f3d62f3a44fef0a.webp;186.79;23;;"Length:500 mm;Color:black matte";;Uol4AUi6iIvTMzs54EO9j2;517271818064;0;0;0;0;https://alumineu.com/products/architectural-solutions/room-dividers/decorra?editionuid=404845127174
670624142664;;;;;"Room divider DECORRA - 1000 mm - white matte";;;https://static.tildacdn.com/stor6139-3730-4664-b233-383833336266/f6947e3953010fb76f3d62f3a44fef0a.webp;337.26;32;;"Length:1000 mm;Color:white matte";;lp4e5bsYjDqziPV39cnuC2;517271818064;0;0;0;0;https://alumineu.com/products/architectural-solutions/room-dividers/decorra?editionuid=670624142664
