Название фида,Идентификатор фида,Идентификатор клиента,Время загрузки
"PRODUCTS SOURCE 1","407644852","5785188396","22 мая 2026 г., 09:25 CEST"

Идентификатор,Номер строки,Сообщение,Тип,Значения,Название товара
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R60&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R61&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R62&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R63&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R64&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R65&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R66&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R67&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R68&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R69&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R70&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R71&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R72&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R73&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R74&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R75&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R76&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R77&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R78&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R79&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R80&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R81&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R82&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R83&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R84&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R85&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R86&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R87&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R88&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R89&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R90&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R91&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R92&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R93&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R94&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R95&quot;,
,,"Слишком мало субатрибутов для product detail",Ошибка,&quot;Ячейка=R96&quot;,
